sale_id,date,city,product,price,quantity,total
101,2024-01-07,Linz,A,45.92,2,91.84
102,2024-01-20,Linz,C,16.65,1,16.65
103,2024-01-15,Linz,C,34.81,4,139.24
104,2024-01-11,Graz,A,19.03,4,76.12
105,2024-01-08,Salzburg,A,28.4,4,113.6
106,2024-01-07,Salzburg,C,29.6,5,148.0
107,2024-01-19,Salzburg,B,13.32,1,13.32
108,2024-01-11,Salzburg,A,48.63,5,243.15
109,2024-01-11,Linz,B,39.88,5,199.4
110,2024-01-04,Graz,B,47.28,1,47.28
111,2024-01-08,Graz,B,45.27,1,45.27
112,2024-01-03,Linz,A,31.91,1,31.91
113,2024-01-02,Graz,B,46.48,1,46.48
114,2024-01-12,Linz,A,8.98,4,35.92
115,2024-01-06,Salzburg,B,13.82,3,41.46
116,2024-01-02,Linz,C,7.04,3,21.12
117,2024-01-01,Salzburg,C,19.64,1,19.64
118,2024-01-12,Salzburg,A,22.49,3,67.47
119,2024-01-12,Wien,C,17.21,3,51.63
120,2024-01-17,Linz,C,42.29,1,42.29
